year_diff	levee_urban_sum (km2)	county_urban_sum (km2)
-10	2780.91	    92223.5968
-9	2825.431654	93739.36652
-8	2863.425764	95245.13696
-7	2898.644925	96764.33761
-6	2939.342887	98259.88238
-5	2980.938104	99774.92367
-4	3020.609094	101286.728
-3	3063.370837	102826.0115
-2	3102.055257	104405.2025
-1	3148.34519	106011.7384
0	3206.033155	107693.2316
1	3259.97794	109429.45
2	3322.841457	111217.7871
3	3390.967748	113013.3083
4	3453.389664	114862.7843
5	3516.117074	116783.948
6	3583.714302	118829.5589
7	3651.068982	120881.5043
8	3710.532815	122951.024
9	3782.482069	125066.5587
10	3847.703239	127124.2289
